0000, 3590
00b4, 4d94
00b5, cd94
00b6, e798
00b7, 93a2
00b8, 097e
00b9, 9d8f
00ba, 2d8f
00bb, 04ae
00bc, 0188
00bd, ef99
00be, c3c3
00bf, 4341
00c0, 060c
00c1, f2f7
00c2, 558d
00c3, 0d45
00c4, 08fd
00c5, ebd2
00c6, 2e4c
00c7, 5ccb
00c8, 9692
00c9, 5dbf
00ca, d140
00cb, 70ff
00cc, dbfb
00cd, 5390
00ce, e7a5
00cf, 0057
00d0, 4021
00d1, dd42
00d2, dcef
00d3, 4116
00d4, ab9b
00d5, c1f2
00d6, eb2d
00d7, 2c69
00d8, 3dd9
00d9, 2d61
00da, 48d6
00db, 0bf3
00dc, 0854
00dd, 2710
00de, c6f5
00df, a742
00e0, a00f
00e1, db5b
00e2, 7785
00e3, 7788
00e4, a838
00e5, 7d04
00e6, d60b
00e7, ac3b
00e8, 005e
00e9, ad5f
00ea, c8e5
00eb, 6d3e
00ec, a188
00ed, 7195
00ee, 7c0e
00ef, a054
00f0, 506e
00f1, 94d8
00f2, 9c58
00f3, a855
00f4, 5ed6
00f5, 8d6b
00f6, 7fbe
00f7, 35dd
00f8, a9db
00f9, 3b25
00fa, e2b9
00fb, ca65
00fc, c10b
00fd, 970e
00fe, 8360
00ff, 5628
0100, 3b4e
0101, 3d33
0102, 3de2
0103, 289e
0104, e69e
0105, 46e4
0106, 5053
0107, bbef
0108, 2c9b
0109, f63f
010a, 36fb
010b, 288b
010c, 2c8e
010d, 8052
010e, 4b34
010f, eb9b
0110, a7a5
0111, 4d34
0112, 46e2
0113, 65a5
0114, a1a8
0115, 33b7
0116, 2b53
0117, e22a
0118, d21e
0119, 35dc
011a, 781e
011b, 6ea8
011c, 637b
011d, 403f
011e, 3ed1
011f, ac7b
0120, 8e62
0121, e73e
0122, 883b
0123, 9621
0124, 70de
0125, 07b4
0126, 16a9
0127, ffab
0128, 9bd7
0129, fa18
012a, 83d3
012b, f192
012c, f744
012d, 1dcd
012e, 0162
012f, cbdb
0130, 3328
0131, 4987
0132, f088
0133, a381
0134, 6757
0135, f921
0136, a3e2
0137, 33e2
0138, 367d
0139, 3c86
013a, aa7d
013b, 675b
013c, 0914
013d, ac26
013e, 402b
013f, 0014
0140, 7dc1
0141, 425d
0142, f854
0143, d020
0144, 8f06
0145, 404b
0146, 6ee2
0147, a3e4
0148, 7a8e
0149, a726
014a, d29b
014b, e9ea
014c, e64f
014d, 6116
014e, fa87
014f, 81f2
0150, 4c35
0151, ba40
0152, 865e
0153, dfae
0154, f5e7
0155, 9374
0156, bff0
0157, 609e
0158, 1b3f
0159, a3af
015a, 450a
015b, 16ef
015c, 1a1e
015d, eb3e
015e, 004b
015f, fce8
0160, 081e
0161, 8e9d
0162, bdf4
0163, fc05
0164, 1d07
0165, 002b
0166, 3280
0167, 9799
0168, f50a
0169, 0665
016a, 6b5c
016b, f351
016c, f75b
016d, fb83
016e, 9c86
016f, 11a8
0170, dbcd
0171, fb3e
0172, 4b5b
0173, 7c19
0174, 8c35
0175, fc82
0176, 6dda
0177, abd1
0178, 781d
0179, a6b1
017a, d6c9
017b, e1e2
017c, e7e3
017d, 6db7
017e, 4892
017f, 8808
0180, 4a7b
0181, f8f4
0182, 4782
0183, 634d
0184, 08d4
0185, 452d
0186, add1
0187, 3d31
0188, 6ef6
0189, 36e7
018a, 44a8
018b, 0fd8
018c, 692b
018d, a6b7
018e, f2d6
018f, 6722
0190, 84a8
0191, 8f3d
0192, e8f4
0193, 972d
0194, cb3d
0195, 0672
0196, 1e9b
0197, 9a16
0198, 9354
0199, 552b
019a, 1e67
019b, f941
019c, f64b
019d, cda1
019e, 07e1
019f, 78d4
01a0, 9cb6
01a1, 895c
01a2, e083
01a3, 1a89
01a4, 4941
01a5, 6a12
01a6, ca45
01a7, 507d
01a8, 86bc
01a9, 9341
01aa, 95e2
01ab, c055
01ac, 7923
01ad, 1629
01ae, 67e8
01af, 468b
01b0, 4d8f
01b1, 3ee7
01b2, 3188
01b3, ed05
01b4, e29d
01b5, 4758
01b6, 8557
01b7, f33c
01b8, 2f99
01b9, 4705
01ba, 3249
01bb, 2a89
01bc, e055
01bd, e788
01be, 43e1
01bf, 2d94
01c0, 6b2f
01c1, 86fe
01c2, 8d9b
01c3, f003
01c4, 16d3
01c5, 9c18
01c6, 50f8
01c7, 7175
01c8, 2def
01c9, 97ce
01ca, 00d4
01cb, fb32
01cc, f654
01cd, 3b85
01ce, 98ab
01cf, 1d62
01d0, 90b7
01d1, e854
01d2, 875f
01d3, 13ec
01d4, 41f2
01d5, 69b8
01d6, c116
01d7, 0e96
01d8, 1e51
01d9, 054d
01da, 9d61
01db, 7228
01dc, c525
01dd, cc70
01de, 64db
01df, 4744
01e0, 4003
01e1, b188
01e2, bc45
01e3, 12df
01e4, fd04
01e5, 057b
01e6, 27f8
01e7, 1e15
01e8, d5d4
01e9, 65ce
01ea, bd5f
01eb, 1e24
01ec, 13bf
01ed, b8f5
01ee, 0ec8
01ef, f0e2
01f0, 00de
01f1, 43e7
01f2, 4c58
01f3, 95a3
01f4, ac4d
01f5, 3a16
01f6, 453c
01f7, 30df
01f8, 60f5
01f9, 59a9
01fa, a7f0
01fb, 664b
01fc, a314
01fd, f73e
01fe, 36b2
01ff, 6628
0200, 0cd0
0201, ddb7
0202, d0ba
0203, 75e6
0204, 6bcd
0205, defd
0206, 766d
0207, 690d
0208, 93e0
0209, 0450
020a, 18b0
020b, 0e0c
020c, 02e1
020d, 7b69
020e, 1590
020f, 061d
0210, 570a
0211, 9e07
0212, 95e1
0213, af8c
0214, f19d
0215, b8fd
0216, 744c
0217, 5731
0218, 99f1
0219, 385c
021a, e1ec
021b, 753a
021c, c237
021d, 999a
021e, 27f9
021f, f746
0220, 96de
0221, 08dd
0222, 0c26
0223, 042e
0224, f2db
0225, 2d36
0226, e855
0227, f5dd
0228, 09db
0229, fe29
022a, 7b25
022b, d930
022c, d436
022d, 5c3e
022e, 2030
022f, f328
0230, 55ac
0231, fc11
0232, 958d
0233, ae1e
0234, 5a54
0235, 8df1
0236, 9cf3
0237, 31bf
0238, a14f
0239, 3e1a
023a, 5cd3
023b, b1c7
023c, cef6
023d, 95a5
023e, 8402
023f, 5087
0240, 37f3
0241, 735e
0242, 772c
0243, 7922
0244, 6ae8
0245, 1ff1
0246, 2e39
0247, 61ee
0248, 7658
0249, 6f13
024a, 3a09
024b, fd26
024c, 9f57
024d, 283f
024e, 8166
024f, 6711
0250, a590
0251, 2779
0252, d3e0
0253, d581
0254, f627
0255, c43d
0256, e86a
0257, 487a
0258, 8727
0259, ae80
025a, fcac
025b, 481d
025c, 0256
025d, de9c
025e, bb61
025f, a9ed
0260, fa6f
0261, 0548
0262, 9677
0263, 044c
0264, 05b1
0265, e19d
0266, 090e
0267, f2ee
0268, 58b9
0269, f1ec
026a, 9569
026b, ebc6
026c, 7e97
026d, 0ccc
026e, e204
026f, 5a7b
0270, 3c0e
0271, 7b2d
0272, 7629
0273, 7328
0274, 68d6
0275, 1406
0276, 203b
0277, 69d8
0278, 9525
0279, 64be
027a, 885e
027b, 9230
027c, 9e56
027d, 2d3e
027e, 1939
027f, 6cb6
0280, 5ada
0281, 9ff7
0282, 9a81
0283, a47f
0284, 5837
0285, 8107
0286, 7f1f
0287, 3ad1
0288, aaa4
0289, 34bc
028a, ef2c
028b, cafa
028c, c497
028d, 9aa3
028e, 8c3a
028f, 5c51
0290, 97df
0291, 0a58
0292, 0717
0293, 0f1f
0294, 9326
0295, 2837
0296, 5a39
0297, fd2e
0298, 015e
0299, ff2c
029a, 9639
029b, e1d6
029c, dff7
029d, 57ff
029e, 2e38
029f, f922
02a0, a5ae
02a1, ec2a
02a2, d58c
02a3, 1314
02a4, 4c71
02a5, 7e96
02a6, d133
02a7, 984f
02a8, 1ce2
02a9, 9e7e
02aa, ac93
02ab, 31b7
02ac, 6e81
02ad, d2af
02ae, 28c7
02af, a586
02b0, 67cc
02b1, d5e3
02b2, dc70
02b3, 7ae7
02b4, 038b
02b5, c297
02b6, 720e
02b7, 5120
02b8, 20b6
02b9, 6f4c
02ba, 0a35
02bb, 5bb1
02bc, 044d
02bd, 716c
02be, edad
02bf, a077
02c0, f56e
02c1, 0dcd
02c2, 0076
02c3, 0fe9
02c4, 5e62
02c5, eb01
02c6, d1b0
02c7, f60d
02c8, 0a0d
02c9, fbe9
02ca, 2eb5
02cb, d390
02cc, d296
02cd, 0769
02ce, e60c
02cf, 55b4
02d0, aac3
02d1, df57
02d2, da5a
02d3, 1ab2
02d4, aff1
02d5, 7f97
02d6, d9d2
02d7, 9ac4
02d8, 6a23
02d9, 9f7f
02da, cf13
02db, 643a
02dc, 64e7
02dd, d4d3
02de, 7a9a
02df, aa41
02e0, 9afc
02e1, 744d
02e2, 7949
02e3, 1957
02e4, a207
02e5, c201
02e6, da07
02e7, aaf7
02e8, 095a
02e9, af4a
02ea, cf4c
02eb, 9ff9
02ec, af8d
02ed, df0a
02ee, c33c
02ef, 9357
02f0, 569c
02f1, f0b1
02f2, 9aed
02f3, 9289
02f4, f948
02f5, eb36
02f6, f7ca
02f7, 3f5f
02f8, 481c
02f9, 5b8a
02fa, 5903
02fb, bbd7
02fc, 7f36
02fd, 9390
02fe, bffb
02ff, 56ed
0300, b5b8
0301, 16dc
0302, 1b61
0303, 0cdc
0304, 3edf
0305, 2a15
0306, a6dd
0307, 8962
0308, 18bc
0309, e4df
030a, 4325
030b, a8cd
030c, 9c1d
030d, abb9
030e, bf7b
030f, 32b4
0310, bfaf
0311, 4ed2
0312, 45b4
0313, 3709
0314, 2224
0315, 8080
0316, b41f
0317, e736
0318, 8150
0319, 8830
031a, 29a4
031b, 3dfd
031c, 3046
031d, 49c3
031e, eb86
031f, b52f
0320, 1cbb
0321, ea6e
0322, ef6b
0323, acc3
0324, 34de
0325, 2a13
0326, 0c68
0327, 77a2
0328, c813
0329, 71a3
032a, 6c2e
032b, 4fa4
032c, 4a74
032d, 08b5
032e, 2f12
032f, 34bb
0330, cdae
0331, 9977
0332, f378
0333, 5aca
0334, ca7c
0335, 8c8a
0336, 979c
0337, 8165
0338, 5765
0339, 84aa
033a, c19c
033b, 59eb
033c, 5c41
033d, 96ce
033e, 8ae5
033f, b31e
0340, 7cb4
0341, 720b
0342, 7161
0343, 30f3
0344, 92bd
0345, 8513
0346, f2e0
0347, 110a
0348, 3a0a
0349, 1ba3
034a, 70ed
034b, 6ae4
034c, 6011
034d, f1e3
034e, 1aba
034f, f4b4
0350, 8eaf
0351, a948
0352, 662d
0353, aa3c
0354, c979
0355, 8c80
0356, 6903
0357, b20e
0358, 4069
0359, b13c
035a, 1f6a
035b, 30b1
035c, 6a8d
035d, 66ac
035e, 85e3
035f, 8325
0360, e914
0361, 12c6
0362, bea2
0363, 45c5
0364, 621d
0365, 2ab5
0366, 6fb9
0367, 7fca
0368, 9aac
0369, 2ec5
036a, 192d
036b, 9327
036c, 49bb
036d, 341f
036e, 75ba
036f, f214
0370, 70bb
0371, 7669
0372, 7b6d
0373, 3c03
0374, fe6e
0375, 8ab3
0376, f608
0377, 17d4
0378, 8853
0379, 1163
037a, 96be
037b, 68d1
037c, 6cb1
037d, fbe5
037e, 8f24
037f, f2bb
0380, c1cf
0381, f4c4
0382, f972
0383, 5960
0384, b414
0385, 8ce0
0386, 7173
0387, 8ad6
0388, e4b9
0389, 8460
038a, cca4
038b, 5106
038c, 57ed
038d, 97cf
038e, 8156
038f, ba7f
0390, 1c14
0391, df6d
0392, e4c4
0393, a0ae
0394, 64bd
0395, 2515
0396, 08e0
0397, 71fa
0398, ac9a
0399, 7ba5
039a, 1ced
039b, aa71
039c, 4518
039d, 0173
039e, 7a1a
039f, 3414
03a0, ddc3
03a1, 09e2
03a2, 0671
03a3, 9a63
03a4, d9bc
03a5, 2cea
03a6, 590c
03a7, 2b65
03a8, 9005
03a9, 246a
03aa, d80c
03ab, f0bd
03ac, 9ae1
03ad, 5693
03ae, 25e5
03af, e373
03b0, ba22
03b1, 1204
03b2, 11ad
03b3, 60cc
03b4, 62b1
03b5, 85b5
03b6, a2ee
03b7, d4dc
03b8, 0a3f
03b9, 82cf
03ba, c5b6
03bb, 9a8b
03bc, 60bd
03bd, a12c
03be, 7a10
03bf, 341b
03c0, 892b
03c1, 83a5
03c2, 82c8
03c3, faaf
03c4, 52ae
03c5, 25b3
03c6, 3adb
03c7, 2ac2
03c8, bf7f
03c9, 2fc3
03ca, 592e
03cb, 4262
03cc, f322
03cd, 3fbe
03ce, 2eb2
03cf, 321b
03d0, d86f
03d1, 0161
03d2, 07b7
03d3, 9565
03d4, e4b4
03d5, 20e0
03d6, e1e3
03d7, 2366
03d8, 7ebe
03d9, 2260
03da, dc64
03db, 9e06
03dc, 95ed
03dd, 570f
03de, 2de6
03df, e9bf
03e0, 8f63
03e1, a1ad
03e2, a776
03e3, a509
03e4, b41b
03e5, 80ea
03e6, 112c
03e7, b63d
03e8, ce50
03e9, bb09
03ea, 8ad2
03eb, 6e37
03ec, 65e1
03ed, 676a
03ee, 8d57
03ef, b97e
03f0, 22ae
03f1, a5b1
03f2, 4a2b
03f3, 3cfc
03f4, c52c
03f5, 208a
03f6, a9ca
03f7, 8f35
03f8, 390e
03f9, e8fa
03fa, cfac
03fb, 3548
03fc, 4687
03fd, 43a5
03fe, 8585
03ff, 292e
0400, 10b4
0401, e603
0402, eb02
0403, fcf5
0404, 0d63
0405, cc7e
0406, 3632
0407, c7cb
0408, b845
0409, 71a5
040a, 662f
040b, 48f8
040c, 4c48
040d, 3be3
040e, c818
040f, 0bb2
0410, cbdf
0411, 9d64
0412, 90b2
0413, 35c9
0414, cd24
0415, 8370
0416, cd2f
0417, e5a6
0418, 8e10
0419, 82a0
041a, 70d4
041b, 5ec6
041c, 557d
041d, a063
041e, 8e16
041f, c6bf
0420, 3e7b
0421, 1cd5
0422, 1868
0423, 43b4
0424, 08de
0425, 7773
0426, e3ce
0427, 2222
0428, 42d4
0429, 2323
042a, 3eae
042b, a8c2
042c, 9c12
042d, e2cb
042e, 7172
042f, 682b
0430, ba2e
0431, a741
0432, a61b
0433, f641
0434, c78c
0435, e91a
0436, 95b7
0437, 8345
0438, 554b
0439, b68a
043a, c3bc
043b, 37b8
043c, 3a17
043d, fab8
043e, 8725
043f, 701e
0440, 5478
0441, b206
0442, b132
0443, 6026
0444, abe6
0445, 107f
0446, d202
0447, ca79
0448, aa48
0449, 852e
044a, 02b7
044b, 5a57
044c, 3042
044d, d1c6
044e, dc5c
044f, a122
0450, 1dd5
0451, f94d
0452, 56e8
0453, 6aa5
0454, 7740
0455, ea79
0456, 4999
0457, 8b63
0458, 6003
0459, 84a0
045a, c899
045b, 00e2
045c, 0a78
045d, 3635
045e, e0bf
045f, d6be
0460, 7014
0461, db9d
0462, 7dc4
0463, a765
0464, 6d4d
0465, 7725
0466, 6b49
0467, 7b0a
0468, 963c
0469, 7165
046a, 108d
046b, a6e1
046c, a728
046d, ad1f
046e, 765a
046f, ad14
0470, 52b2
0471, b635
0472, bb08
0473, ac76
0474, add5
0475, dc2f
0476, d66a
0477, bf18
0478, a8a6
0479, ba7e
047a, 5e63
047b, 3802
047c, 5c52
047d, db67
047e, 18b2
047f, abb8
0480, b3bf
0481, a1a2
0482, a774
0483, 504d
0484, 7814
0485, 8920
0486, fe64
0487, 8d86
0488, 5d96
0489, 8640
048a, be24
048b, 34dd
048c, 39b6
048d, f5b2
048e, ef26
048f, c71f
0490, 4e14
0491, 1806
0492, 11a2
0493, 4928
0494, 685d
0495, 7675
0496, d2cd
0497, 732a
0498, a3b1
0499, 2925
049a, 6e7d
049b, 9c87
049c, a07b
049d, 2ec4
049e, 774a
049f, 0814
04a0, e3be
04a1, 39e1
04a2, 3682
04a3, 0a46
04a4, 17ea
04a5, ba2c
04a6, 994b
04a7, e5ef
04a8, 50b7
04a9, ec49
04aa, 7970
04ab, a0e8
04ac, aa22
04ad, 06b6
04ae, b0be
04af, 161f
04b0, 1c1b
04b1, e207
04b2, e198
04b3, 3005
04b4, 0be7
04b5, 102e
04b6, 32ea
04b7, 71f0
04b8, faf0
04b9, 1b65
04ba, 10e1
04bb, 4a46
04bc, 3058
04bd, 3185
04be, cc49
04bf, 0178
04c0, 101b
04c1, d6ce
04c2, dbcb
04c3, 96df
04c4, 6dae
04c5, 7623
04c6, 66ab
04c7, 7662
04c8, cbbf
04c9, 7b63
04ca, 001e
04cb, abd4
04cc, a6b4
04cd, 6b7e
04ce, 7b22
04cf, 6d7b
04d0, 2975
04d1, 3132
04d2, 37e4
04d3, 05e7
04d4, 1122
04d5, b5b9
04d6, 91c6
04d7, ede1
04d8, 0e01
04d9, e0ec
04da, 2478
04db, aedb
04dc, a5b8
04dd, 977d
04de, be2d
04df, 17b3
04e0, c8ce
04e1, f198
04e2, f74b
04e3, 6563
04e4, 7178
04e5, e5bc
04e6, b185
04e7, 83d7
04e8, 1e2f
04e9, 826a
04ea, ccab
04eb, 0e64
04ec, 05b2
04ed, 479e
04ee, eeb1
04ef, 7775
04f0, 78de
04f1, 90e7
04f2, 9cb8
04f3, 43ac
04f4, c6ec
04f5, b31a
04f6, a00a
04f7, 8ba5
04f8, 30ce
04f9, 22aa
04fa, cb3c
04fb, 507b
04fc, f371
04fd, acd5
04fe, 8675
04ff, cc2e
0500, 6455
0501, 0ffe
0502, 0254
0503, d40f
0504, c3ff
0505, a5e2
0506, 9953
0507, c245
0508, d392
0509, a99f
050a, 6af2
050b, deeb
050c, 7a45
050d, 7558
050e, af0b
050f, 1efb
0510, 09da
0511, 9f38
0512, 9554
0513, 57d9
0514, 02d6
0515, 5554
0516, 728e
0517, 2f53
0518, e81a
0519, f53e
051a, d21a
051b, fba1
051c, 5016
051d, 99f3
051e, 5ff8
051f, 9916
0520, ad59
0521, 1af3
0522, 1438
0523, f9fc
0524, cada
0525, 0927
0526, 3af1
0527, db8c
0528, 2280
0529, 073c
052a, ac31
052b, 92fb
052c, 9982
052d, 3459
052e, 02a7
052f, ced6
0530, 669c
0531, adcd
0532, a34b
0533, 6c9f
0534, 3ec2
0535, 4ae2
0536, bd45
0537, b4bc
0538, 147f
0539, 4c6f
053a, 1d7f
053b, 6497
053c, 3c77
053d, 4390
053e, 4107
053f, 6377
0540, 5f4c
0541, a16c
0542, a4e2
0543, eefa
0544, d7cc
0545, a348
0546, 4cef
0547, bd4e
0548, e6f4
0549, 4399
054a, 5792
054b, dd11
054c, d383
054d, bae7
054e, adc6
054f, df92
0550, a59e
0551, 1b2d
0552, 1555
0553, b8dc
0554, a866
0555, 4071
0556, 10a7
0557, 1f4a
0558, c937
0559, 37ca
055a, cb79
055b, 1f8d
055c, 8710
055d, 12ff
055e, a291
055f, a9e8
0560, af2c
0561, c0ac
0562, c2f2
0563, 959e
0564, 89a5
0565, 05b6
0566, 67a7
0567, e273
0568, 7b79
0569, 05ca
056a, 49d2
056b, 9866
056c, 99e8
056d, 6f8f
056e, 5268
056f, 1fad
0570, 54e9
0571, a433
0572, ae58
0573, ef3c
0574, da93
0575, a984
0576, 4a5a
0577, b289
0578, e5f7
0579, 49fa
057a, 5a91
057b, d282
057c, d95f
057d, b356
057e, a2f8
057f, d408
0580, 6c3a
0581, aef8
0582, aa84
0583, 6c3e
0584, 6ea1
0585, 4358
0586, be89
0587, b123
0588, 1183
0589, 46de
058a, 1d8a
058b, 31a1
058c, 3c26
058d, 4afa
058e, 4434
058f, 6a21
0590, a1ec
0591, 1ccc
0592, 1492
0593, f3f9
0594, ba6f
0595, 0311
0596, 3c92
0597, dd13
0598, 2d8e
0599, 06fa
059a, ac62
059b, 9da6
059c, 9388
059d, 344c
059e, 5ea4
059f, c467
05a0, f590
05a1, 1d77
05a2, 134f
05a3, c10f
05a4, 9bcd
05a5, 5777
05a6, 8692
05a7, df7f
05a8, ca62
05a9, 079f
05aa, 2b45
05ab, c4e7
05ac, bcbc
05ad, 8e9c
05ae, 0f97
05af, 954b
05b0, 6f43
05b1, 68a0
05b2, 6f8b
05b3, d293
05b4, c0ca
05b5, 9a5b
05b6, a72c
05b7, 7d10
05b8, d0c1
05b9, 93f5
05ba, 67c1
05bb, dbb6
05bc, d5ee
05bd, c952
05be, 91dd
05bf, c294
05c0, 9229
05c1, 75f3
05c2, d2f8
05c3, 9a9f
05c4, d9a9
05c5, 9a7d
05c6, 09f4
05c7, de7c
05c8, 7e45
05c9, 0a6c
05ca, 99d1
05cb, 940b
05cc, 93e2
05cd, 0f5e
05ce, 0e6d
05cf, d2d1
05d0, fa9a
05d1, 1e84
05d2, 1a53
05d3, cd3e
05d4, 9e98
05d5, 5cb6
05d6, 83f1
05d7, d143
05d8, cc34
05d9, 0c0e
05da, 2e49
05db, b121
05dc, b629
05dd, 843a
05de, 51c1
05df, 9a44
05e0, aaff
05e1, d258
05e2, 798e
05e3, 2bd9
05e4, a43b
05e5, 361d
05e6, d5f4
05e7, 811c
05e8, 27d1
05e9, 3cd0
05ea, ce85
05eb, e816
05ec, e02a
05ed, df33
05ee, 4da7
05ef, a352
05f0, 65ac
05f1, a8dd
05f2, a95b
05f3, 37ac
05f4, 32db
05f5, 398b
05f6, cb10
05f7, b85c
05f8, 1f8c
05f9, 493f
05fa, 821f
05fb, a2f7
05fc, 4017
05fd, a5f5
05fe, 38fd
05ff, 652d
0600, c260
0601, 6f9b
0602, 65e2
0603, 4bb0
0604, 1f7d
0605, 32e2
0606, cfef
0607, 49ef
0608, 4767
0609, b5eb
060a, c967
060b, 87c0
060c, 8b67
060d, a505
060e, 3f95
060f, 15bc
0610, 249f
0611, 4f0b
0612, 45e2
0613, 448f
0614, 24eb
0615, f254
0616, b245
0617, f58e
0618, 43fb
0619, 2984
061a, 239b
061b, ba35
061c, be32
061d, 499f
061e, ff3e
061f, 23ef
0620, d830
0621, 6fa1
0622, 6926
0623, 382e
0624, df17
0625, 5f5b
0626, 188a
0627, 571f
0628, 37a4
0629, e72b
062a, d7f7
062b, 89f3
062c, 8f38
062d, 6739
062e, 5fff
062f, d920
0630, 2dae
0631, 4d96
0632, 4348
0633, fb75
0634, 2d86
0635, 4e4b
0636, be79
0637, 4370
0638, f5cd
0639, b67b
063a, 23a6
063b, 2090
063c, 229b
063d, 46ce
063e, 4d90
063f, 238e
0640, c10a
0641, a161
0642, aae4
0643, a1e3
0644, b4b4
0645, 44e4
0646, b1e3
0647, 4aba
0648, aa64
0649, bcb4
064a, cc64
064b, ca0a
064c, b161
064d, 4a0a
064e, 410a
064f, caba
0650, eeff
0651, 0e3d
0652, 562d
0653, 3b7a
0654, ed5d
0655, 32e8
0656, de8c
0657, 304a
0658, 6591
0659, 8544
065a, e6f7
065b, 1509
065c, 8b66
065d, 56ac
065e, 3b09
065f, e355
0660, dfca
0661, fea2
0662, 9317
0663, 548f
0664, 2274
0665, f244
0666, e41f
0667, 574a
0668, 5cf7
0669, e944
066a, e9c4
066b, 26fc
066c, 2ef2
066d, 0aac
066e, fb9a
066f, 757a
0670, cb39
0671, af34
0672, a558
0673, ab5e
0674, cf21
0675, 4258
0676, bf5a
0677, 4723
0678, a734
0679, b028
067a, c731
067b, b7da
067c, bbd6
067d, 4539
067e, 4f33
067f, c529
0680, 28af
0681, 42f8
0682, 4984
0683, f173
0684, 228b
0685, 4484
0686, bb1e
0687, 461e
0688, f6c8
0689, bc14
068a, 20ab
068b, 239e
068c, 2494
068d, 47a3
068e, 4efe
068f, 298f
0690, d1fa
0691, 34c4
0692, 6a71
0693, 3173
0694, e414
0695, 5484
0696, 1173
0697, 5a1a
0698, 3ac1
0699, ec14
069a, dca4
069b, 8c9a
069c, 8494
069d, 6c9a
069e, 51fa
069f, da1a
06a0, 8dc3
06a1, 6e91
06a2, 3671
06a3, 0b4f
06a4, 8d41
06a5, 5242
06a6, 1e73
06a7, 557c
06a8, 05c2
06a9, e072
06aa, 83c1
06ab, d59c
06ac, ebc7
06ad, 6693
06ae, 5b9c
06af, 8343
06b0, 74dc
06b1, 01ad
06b2, 0a8b
06b3, f12c
06b4, e41b
06b5, 548b
06b6, 712c
06b7, fc5c
06b8, 9a37
06b9, 2a52
06ba, 2ad2
06bb, daf0
06bc, e1ad
06bd, 9a3f
06be, 51f0
06bf, da10
06c0, d460
06c1, a2c7
06c2, 657d
06c3, 3fe5
06c4, 7e77
06c5, 5e4b
06c6, 1f7c
06c7, 5a4f
06c8, 3992
06c9, eaeb
06ca, dac7
06cb, b59f
06cc, 829b
06cd, 6960
06ce, fe9f
06cf, d370
06d0, 88d3
06d1, 3ba1
06d2, 3721
06d3, 01e3
06d4, 8284
06d5, 54e4
06d6, 1b83
06d7, 5673
06d8, 0694
06d9, ecb4
06da, 80a4
06db, e6ca
06dc, e161
06dd, 6733
06de, 5e93
06df, 8953
06e0, 8f0f
06e1, 3b6d
06e2, 477d
06e3, 312c
06e4, 82eb
06e5, 448b
06e6, 8b7c
06e7, 338f
06e8, 36a7
06e9, 8a52
06ea, 8592
06eb, 86d0
06ec, b1ad
06ed, 376c
06ee, 3e35
06ef, b945
